id,data_levan,nome,ano_registo,type,address,freg,lat,lon,nearest_metro,nearest_bus,nearest_tur_point
5497,-2209161600000,CAIS02,2018,Apartamento,"Rua do Adro, 4050-015 Porto, Portugal",,41.14577793101812,-8.63039840091336,1579.3364634045442,175.55340356743548,1429.5163062431384
5498,-2209161600000,Oscar Cesar Burmester,2018,Apartamento,"Rua Antonio Bessa Leite, 4150-077 Porto, Portugal",,41.15898151858954,-8.644275564038184,980.596663314119,171.0978316350039,2944.0544378802992
5499,-2209161600000,By the River Guesthouse,2018,Moradia,"Alameda Basilio Teles, 4150-127 Porto, Portugal",,41.146814893282084,-8.63158059306467,1524.7407527742948,61.774706963243545,1566.3474280909236
5500,-2209161600000,Viriato,2018,Apartamento,"Largo de Viriato, 4050-627 Porto, Portugal",,41.14559076974495,-8.6199161039006,774.9312933114339,55.5573766263617,682.831117074938
5501,-2209161600000,Viriato,2018,Apartamento,"Largo de Viriato, 4050-627 Porto, Portugal",,41.14552521504234,-8.619925074068195,774.7117321890246,59.85622490528609,677.8142957683956
5502,-2209161600000,The Home,2018,Apartamento,"Rua do Professor Jaime Rios de Sousa, 4050-309 Porto, Portugal",,41.1485568208042,-8.620431511812466,792.7619093223652,70.67341933242209,797.9662181725188
5503,-2209161600000,The Studio Porto,2018,Apartamento,"Rua do Professor Jaime Rios de Sousa, 4050-309 Porto, Portugal",,41.1485426519155,-8.620401779851024,790.2649050156801,70.98809474915939,795.8973440769702
5504,-2209161600000,Ap Rua da Piedade,2018,Apartamento,"Rua da Piedade, 4050-481 Porto, Portugal",,41.15179994223507,-8.628347786760914,911.9229790061116,70.42748832483079,1452.3048901712862
5505,-2209161600000,Confort house,2018,Moradia,"Rua do Marechal Saldanha, 4150-660 Porto, Portugal",,41.16576771399974,-8.685467439476447,3504.8617213880266,137.43089573947594,6468.930494181042
5506,-2209161600000,Liiiving in Porto | Foz Spacious Apartment,2018,Apartamento,"Rua de Pero de Alenquer, 4150-616 Porto, Portugal",,41.16116661303224,-8.681831572880165,3456.523200762116,27.67402478533931,6052.594742821953
5507,-2209161600000,Bombarda 451 - Suites & Hostel,2018,Estabelecimento de hospedagem-Hostel,"Rua de Miguel Bombarda, 4050-382 Porto, Portugal",,41.14934083706969,-8.622298877181043,953.6059379918449,60.633844334228485,938.5067432935363
5508,-2209161600000,Avenida do Brasil Beach House,2018,Apartamento,"Avenida do Brasil, 4150-114 Porto, Portugal",,41.1583200281862,-8.682584312116616,3681.4760511925233,88.23134505376785,6021.0341617584345
5509,-2209161600000,Avant Apartments,2018,Apartamento,"Rua do Campo Alegre, 4150-168 Porto, Portugal",,41.152715456154326,-8.629103438754624,870.0714731765021,38.0863427081593,1530.547007831915
5510,-2209161600000,Porto Campus Studios,2018,Moradia,"Rua de Dionisio dos Santos Silval, 4200-267 Porto, Portugal",,41.17651512032656,-8.607525386992494,383.81788082780224,31.517191740994736,2938.2314871303092
5511,-2209161600000,Porto Campus Studios,2018,Moradia,"Rua de Dionisio dos Santos Silval, 4200-267 Porto, Portugal",,41.17652658495021,-8.607561652867973,387.0739410484138,28.22885768887078,2939.1822768464785
5512,-2209161600000,Porto Campus Studios,2018,Moradia,"Rua de Dionisio dos Santos Silval, 4200-267 Porto, Portugal",,41.176535805897835,-8.607607675806962,390.89692047687254,24.243102872661886,2939.8053190139394
5513,-2209161600000,Porto Campus Studios,2018,Moradia,"Rua de Dionisio dos Santos Silval, 4200-267 Porto, Portugal",,41.17653879310466,-8.607634341858885,392.9770341942503,22.02230539483927,2939.9085806183075
5514,-2209161600000,Porto Campus Studios,2018,Moradia,"Rua de Dionisio dos Santos Silval, 4200-267 Porto, Portugal",,41.17653625676088,-8.60767176730026,395.5125418221118,19.210424267758093,2939.313172370885
5515,-2209161600000,Porto Campus Studios,2018,Moradia,"Rua de Dionisio dos Santos Silval, 4200-267 Porto, Portugal",,41.1765185628453,-8.60748481482554,381.1339486248886,34.649148024095076,2938.96781967269
5516,-2209161600000,dARK,2018,Apartamento,"Rua da Restauracao, 4050-499 Porto, Portugal",,41.14625909373834,-8.630738870192388,1544.278248533573,129.63948875479636,1476.6341501459171
5517,-2209161600000,Casa Hab 1,2018,Apartamento,"Rua de Tomas Gonzaga, 4050-605 Porto, Portugal",,41.142308166073725,-8.618818727781187,723.0727690100249,77.89457725860532,384.37677195481285
5518,-2209161600000,Casa Hab 2,2018,Apartamento,"Rua de Tomas Gonzaga, 4050-605 Porto, Portugal",,41.14235728406962,-8.618809005471075,720.3812912418435,83.40787812633606,385.85362657478794
5519,-2209161600000,Casa Hab 6,2018,Apartamento,"Rua de Tomas Gonzaga, 4050-605 Porto, Portugal",,41.14232411551679,-8.618765268970693,718.2499693928728,80.45098947402535,380.99297377346744
5520,-2209161600000,Apartments Oporto Palace,2018,Apartamento,"Rua de Francisco da Rocha Soares, 4050-281 Porto, Portugal",,41.142239335705256,-8.618002164541586,662.5337320874094,93.91134173123774,319.1989603237092
5521,-2209161600000,Apartments Oporto Palace,2018,Apartamento,"Rua de Francisco da Rocha Soares, 4050-281 Porto, Portugal",,41.14225185888077,-8.617998318208508,661.6816949655225,95.26444078432722,319.5535536934888
5522,-2209161600000,Apartments Oporto Palace,2018,Apartamento,"Rua de Francisco da Rocha Soares, 4050-281 Porto, Portugal",,41.14226074028873,-8.618010989336083,662.264284373967,95.56053070449599,320.95281703892726
5523,-2209161600000,Apartments Oporto Palace,2018,Apartamento,"Rua de Francisco da Rocha Soares, 4050-281 Porto, Portugal",,41.14226006767441,-8.618029105780165,663.6892983998396,94.73020817598373,322.2658307904645
5524,-2209161600000,Apartments Oporto Palace,2018,Apartamento,"Rua de Francisco da Rocha Soares, 4050-281 Porto, Portugal",,41.14224698837033,-8.618023494222149,663.8347568927364,93.71229579070251,321.17921660971814
5525,-2209161600000,Oporto Hope Apartments A,2018,Apartamento,"Rua de Tomas Gonzaga, 4050-605 Porto, Portugal",,41.14202948543194,-8.618236037373439,689.9850813986775,63.92636118228598,327.2888750949973
5526,-2209161600000,Riverfront Apartment in Center Of Porto,2018,Apartamento,"Rua Armenia, 4050-066 Porto, Portugal",,41.14153087401651,-8.61824457495821,715.5579586033359,29.107634298276242,311.40086512373085
5527,-2209161600000,River Apartment-Magnificent Views,2018,Apartamento,"Rua Armenia, 4050-066 Porto, Portugal",,41.14154035964962,-8.618254887332071,715.8113283237683,28.307382683915623,312.47625945986437
5528,-2209161600000,Goabio apartment 2,2018,Apartamento,"Rua Armenia, 4050-066 Porto, Portugal",,41.14167502207147,-8.618299841197414,712.1112715486989,29.89282588555788,319.7510871177256
5529,-2209161600000,Douro Virtudes - 1,2018,Apartamento,"Rua das Virtudes, 4050-630 Porto, Portugal",,41.14313947337349,-8.617890880151785,620.1670060653715,71.24083093031437,368.72224666574033
5530,-2209161600000,S. João Porto Apartment,2018,Apartamento,"Travessa da Asprela, 4200-095 Porto, Portugal",,41.182988880861274,-8.597585504016891,395.6460150592702,76.87260223009197,3815.162830794741
5531,-2209161600000,VIRTUDES APARTMENT,2018,Apartamento,"Rua das Virtudes, 4050-011 Porto, Portugal",,41.14309563237577,-8.617928005801343,624.4813893904628,76.93377107657867,367.82996408477584
5532,-2209161600000,Douro Virtudes - 2,2018,Apartamento,"Rua das Virtudes, 4050-630 Porto, Portugal",,41.14307401597201,-8.617935647725954,625.7572630837417,79.15167102326518,366.7439247607964
5533,-2209161600000,Douro Virtudes - 3,2018,Apartamento,"Rua das Virtudes, 4050-630 Porto, Portugal",,41.143149473094404,-8.617908674365722,621.3112393309258,71.46821810460432,370.57497449361205
5534,-2209161600000,CASA AMIAL,2018,Apartamento,"Rua do Amial, 4200-055 Porto, Portugal",,41.17877484406778,-8.613712856490631,814.3222243448984,60.43335371286607,3180.284822664631
5535,-2209161600000,Oporto Terrace,2018,Apartamento,"Rua do Cunha, 4200-249 Porto, Portugal",,41.16568952277441,-8.600675447634599,177.879720031053,120.08162154812317,1932.7459765361452
5536,-2209161600000,Vítor Andrade da Rocha,2018,Moradia,"Rua do Guadiana, 4200-316 Porto, Portugal",,41.17318778406726,-8.600562524002118,307.2637418473022,114.89558663816396,2703.5895478358398
5537,-2209161600000,EHouse HLima,2018,Moradia,"Rua de Honorio de Lima, 4200-321 Porto, Portugal",,41.17174414349241,-8.588874895048981,863.9682897563677,71.0299642810316,3037.07743972685
5538,-2209161600000,Visconde Apartments,2018,Apartamento,"Rua de Antonio Jose da Silva, 4200-498 Porto, Portugal",,41.16410321273449,-8.604891730835107,332.74759512584234,123.25208131788963,1631.7678392326366
5539,-2209161600000,Visconde Apartments,2018,Apartamento,"Rua de Antonio Jose da Silva, 4200-498 Porto, Portugal",,41.1641288032645,-8.604896642871086,335.61663490251203,123.60615850067346,1634.324008505426
5540,-2209161600000,Visconde Apartments,2018,Apartamento,"Rua de Antonio Jose da Silva, 4200-498 Porto, Portugal",,41.16414784250841,-8.604901508946375,337.7624775294555,123.81487916517189,1636.1937796504621
5541,-2209161600000,Yindi One Marquês,2018,Apartamento,"Rua da Constituicao, 4200-194 Porto, Portugal",,41.162186453538474,-8.605919299172319,170.32738171021936,125.67156371211236,1402.6013151850775
5542,-2209161600000,MQ2,2018,Apartamento,"Rua do Visconde de Setubal, 4200-499 Porto, Portugal",,41.16221735889307,-8.60541424649514,145.64687572895272,99.02644678553297,1419.7117919114214
5543,-2209161600000,GONDARÉM BEACH FLAT,2018,Apartamento,"Rua Gondarem, 4150-376 Porto, Portugal",,41.15616617016007,-8.680060128211949,3657.7726315148693,63.83607730066358,5745.981608052029
5544,-2209161600000,Porto by the Sea,2018,Apartamento,"Rua do Padrao, 4150-557 Porto, Portugal",,41.15622122881099,-8.680161509104197,3660.415146552461,54.87561088854978,5755.910618349245
5545,-2209161600000,Casa Nilo,2018,Apartamento,"Rua de Gondarem, 4150-371 Porto, Portugal",,41.15645957718881,-8.68036914677362,3657.1033381137995,25.03644350677429,5780.392746445358
5546,-2209161600000,Beachhouse,2018,Moradia,"Rua do Funchal, 4150-341 Porto, Portugal",,41.163247643094245,-8.684882191938621,3571.689875228793,87.14685355694188,6352.128143872691
5547,-2209161600000,Rua da Torrinha,2018,Moradia,"Rua de Campolide, 4200-149 Porto, Portugal",,41.169864114495404,-8.58747040666365,859.6671025823676,44.67386640459867,2953.558928248836
5548,-2209161600000,Rua de Campolide,2018,Moradia,"Rua de Campolide, 4200-149 Porto, Portugal",,41.169893968244914,-8.58751223006452,862.8300101298455,49.49624148874753,2953.6507509421717
5549,-2209161600000,Oporto Woodhouse Appartment,2018,Moradia,"Rua de Luis Woodhouse, 4200-387 Porto, Portugal",,41.169389749832,-8.593595652201502,433.43923961478174,44.24324294064075,2591.643067554516
5550,-2209161600000,APARTAMENTO SÁ,2018,Apartamento,"Rua de Faria Guimaraes, 4200-291 Porto, Portugal",,41.16297368649301,-8.606897271430235,290.10457903981484,91.04613618867188,1463.587045232606
5551,-2209161600000,Rui Manuel Alves de Almeida,2018,Apartamento,"Rua de Santa Luzia, 4250-415 Porto, Portugal",,41.17814757645412,-8.623901025360583,1609.807158188583,113.316533891109,3282.0988743801586
5552,-2209161600000,Casa Avó Gusta,2018,Apartamento,"Rua de Faria Guimaraes, 4200-291 Porto, Portugal",,41.16272552130577,-8.606966125722854,275.6947375319275,66.68767869137356,1435.46209133526
5553,-2209161600000,Apartamento Rua Doutor Pieres de Lima,2018,Apartamento,"Rua do Doutor Joaquim Pires de Lima, 4200-350 Porto, Portugal",,41.168429043478696,-8.596789602104959,207.03385915865024,128.14710802250522,2356.888984053058
5554,-2209161600000,Oporto 8,2018,Apartamento,"Rua de Costa Cabral, 4200-223 Porto, Portugal",,41.16534860150838,-8.59980566765679,98.74289423772319,94.63423753038508,1934.054636672778
5555,-2209161600000,Porto City Center,2018,Apartamento,"Rua do Padre Jose Pacheco do Monte, 4250-256 Porto, Portugal",,41.16752666094176,-8.61573309803869,1131.6757529727677,100.26526501873064,1962.111718473279
5556,-2209161600000,Metro Elegance,2018,Apartamento,"Rua de Costa Cabral, 4200-223 Porto, Portugal",,41.16577622444805,-8.598627710553925,58.16448025066607,125.15402634674491,2025.05067002935
5557,-2209161600000,ZEN HOUSE,2018,Apartamento,"Rua de Costa Cabral, 4200-223 Porto, Portugal",,41.16580557210164,-8.59867583820895,61.51162324629415,127.7499358503214,2025.7419980627858
5558,-2209161600000,HORUS HOUSE,2018,Apartamento,"Rua de Antero de Quental, 4200-067 Porto, Portugal",,41.16734885819933,-8.610800553528636,872.3368728259973,10.044746630224287,1904.935487254991
5559,-2209161600000,firstlove,2018,Apartamento,"Rua de Alvaro de Casteloes, 4200-042 Porto, Portugal",,41.16971454231489,-8.603358605015591,386.3388477271768,49.33871540256135,2264.257730263854
5560,-2209161600000,MONSANTO APARTMENT,2018,Apartamento,"Travessa de Silva Porto, 4250-475 Porto, Portugal",,41.171130299060685,-8.618142307595884,1279.3106099812173,119.24068272494664,2396.9233985745955
