id,data_levan,nome,ano_registo,type,address,freg,lat,lon,nearest_metro,nearest_bus,nearest_tur_point,POI_closer_than_1000
3543,-2209161600000.0,ApartHotel Oporto,2017.0,Apartamento,"Rua do Doutor Alves da Veiga, 4000-073 Porto, Portugal",,41.14829691768462,-8.60317181266033,330.39094875621015,107.55803226964045,530.3069297578194,6
3544,-2209161600000.0,Cozy Apartment,2017.0,Apartamento,"Rua Goncalo Cristovao, 4000-265 Porto, Portugal",,41.15370451410827,-8.608614536502584,157.54027962256612,100.51152307734009,445.0828233983528,6
3545,-2209161600000.0,Coolhome,2017.0,Apartamento,"Rua Goncalo Cristovao, 4000-265 Porto, Portugal",,41.153734551133454,-8.608610024841344,160.7543368056284,98.61552829765041,448.1886973622035,6
3546,-2209161600000.0,Blue Apartment,2017.0,Apartamento,"Rua de Goncalo Cristovao, 4000-265 Porto, Portugal",,41.15373549994469,-8.608574646415102,162.03467183751502,100.83884666475731,449.7118410726597,6
3547,-2209161600000.0,Green Apartment,2017.0,Apartamento,"Rua de Goncalo Cristovao, 4000-265 Porto, Portugal",,41.153735573374775,-8.608556916768151,162.65228128539374,101.99508803643076,450.44160034399016,6
3548,-2209161600000.0,White Apartment,2017.0,Apartamento,"Rua de Goncalo Cristovao, 4000-265 Porto, Portugal",,41.15371345220576,-8.608577244415518,159.71165516775392,102.2281569340864,447.4661852419416,6
3549,-2209161600000.0,Douro Sunset Lounge,2017.0,Moradia,"Rua da Alegria, 4000-035 Porto, Portugal",,41.15358815197513,-8.603632226040009,471.347144108651,14.755490164378967,736.4387024520157,6
3550,-2209161600000.0,Alojamento Paraiso,2017.0,Apartamento,"Rua do Paraiso, 4000-234 Porto, Portugal",,41.157432293597275,-8.609376308799979,16.130205217979288,41.84482516764579,817.7912005242032,6
3551,-2209161600000.0,Casa da Oliveira,2017.0,Apartamento,"Rua Alegria, 4000-033 Porto, Portugal",,41.14857574526624,-8.603891635080085,262.9858788130009,152.15696254007875,478.4814649040129,7
3552,-2209161600000.0,Alegria Hideout,2017.0,Apartamento,"Rua Alegria, 4000-033 Porto, Portugal",,41.14858320448649,-8.60381541417891,267.80949177278217,155.58750738810318,484.86467589990997,6
3553,-2209161600000.0,Moon House,2017.0,Apartamento,"Rua de Santa Catarina, 4000-451 Porto, Portugal",,41.147968154152906,-8.606271390223867,217.70412889092069,50.446425338420255,268.22511309867593,7
3554,-2209161600000.0,Moon House,2017.0,Apartamento,"Rua de Santa Catarina, 4000-451 Porto, Portugal",,41.14798477286687,-8.606314531515968,215.616715293836,53.4231468653471,265.1383045086137,7
3555,-2209161600000.0,PORTO CITY CENTER - TRINDADE,2017.0,Apartamento,"Rua do Bonjardim, 4000-120 Porto, Portugal",,41.1548573496888,-8.60750344722091,311.0522918461291,139.47041979163748,602.4838195152932,7
3556,-2209161600000.0,Loft City Center,2017.0,Apartamento,"Rua do Bonjardim, 4000-121 Porto, Portugal",,41.156043881955455,-8.607557564137139,200.80070014747827,179.34881509748172,716.9458817984158,7
3557,-2209161600000.0,Veiga Garden House,2017.0,Apartamento,"Rua do Dr. Alves da Veiga, 4000-074 Porto, Portugal",,41.15051401762939,-8.603716238463829,240.11253616151777,97.07337471352,586.9856420779646,7
3558,-2209161600000.0,Guest4Porto AV LOFT,2017.0,Apartamento,"Rua do Dr. Alves da Veiga, 4000-074 Porto, Portugal",,41.150489410596094,-8.603732766707841,238.04318077112742,98.53640891396195,584.2620267524057,7
3559,-2209161600000.0,Warehouse Apartment,2017.0,Apartamento,"Rua do Dr. Alves da Veiga, 4000-074 Porto, Portugal",,41.15049986244602,-8.603682095836573,242.45050427097482,100.02280941384508,588.3922631168448,7
3560,-2209161600000.0,Barrels Loft,2017.0,Apartamento,"Rua do Dr. Alves da Veiga, 4000-074 Porto, Portugal",,41.150540792160285,-8.603693736174355,242.75177112393973,95.79689567472269,590.2595216649522,7
3561,-2209161600000.0,Petrus Garden,2017.0,Apartamento,"Rua do Dr. Alves da Veiga, 4000-074 Porto, Portugal",,41.15052531443669,-8.603750043719375,237.7342789935164,94.42268308148716,585.4294203895932,7
3562,-2209161600000.0,Portraits in the Terrace,2017.0,Apartamento,"Rua Joao de Deus, 4100-460 Porto, Portugal",,41.160502876045854,-8.63608935218293,556.3916289450528,226.55674936895915,2383.5939604868317,0
3563,-2209161600000.0,CASA VERMELHA,2017.0,Apartamento,"Travessa da Senhora Conceicao, 4000-522 Porto, Portugal",,41.157703742677725,-8.609453293230715,44.845545561660565,40.164038202212865,846.3043958295407,6
3564,-2209161600000.0,CASA ALICE,2017.0,Apartamento,"Rua Faria Guimaraes, 4000-206 Porto, Portugal",,41.15853620668495,-8.608915907635474,135.87809408222748,97.48419275598593,945.4843979538209,6
3565,-2209161600000.0,Camoes Great House,2017.0,Moradia,"Travessa Senhora Conceicao, 4000-522 Porto, Portugal",,41.1578549333919,-8.609396721817104,59.24942604254965,41.28497205879902,863.6538022899381,6
