,address,name,score,type
89,"-8.63615319129142,41.1283854597486,-8.58835024065527,41.1643162928948",Oporto City Flats - Un-Almada Hous,"{'global': 9.1, 'staff': 9.0, 'commodities': 9.0, 'cleanliness': 8.9, 'confort': 9.0, 'price/quality': 9.1, 'location': 9.8, 'free-wifi': 8.9}",Apartamento 
90,"-8.63338013809297,41.1365119834269,-8.58557126190695,41.1724428165731",Apartment Trindad,"{'global': 9.2, 'staff': 9.6, 'commodities': 8.8, 'cleanliness': 9.4, 'confort': 9.1, 'price/quality': 9.2, 'location': 9.3, 'free-wifi': 9.6}",Apartamento 
91,"-8.64477677877095,41.1316867834269,-8.59697142122913,41.1676176165731",Bombarda House & Hom,"{'global': 9.5, 'staff': 9.5, 'commodities': 9.4, 'cleanliness': 9.7, 'confort': 9.3, 'price/quality': 9.6, 'location': 9.2, 'free-wifi': 10.0}",Apartamento 
92,"-8.63015098702533,41.1251251834269,-8.58235041297473,41.1610560165731",Bluetile Sol Apartmen,"{'global': 9.7, 'staff': 9.9, 'commodities': 9.6, 'cleanliness': 9.8, 'confort': 9.6, 'price/quality': 9.4, 'location': 9.6, 'free-wifi': 10.0}",Apartamento 
93,"-8.65637085623209,41.1404005834269,-8.60855914376791,41.1763314165731",Porto Deluxe Guesthous,"{'global': 9.8, 'staff': 9.7, 'commodities': 9.8, 'cleanliness': 10.0, 'confort': 9.7, 'price/quality': 9.7, 'location': 9.5, 'free-wifi': 9.8}",Casa de hóspedes 
94,"-8.63109364552571,41.1321441834269,-8.58328795447431,41.1680750165731",Feel Porto Downtown Townhouses,"{'global': 9.1, 'staff': 9.2, 'commodities': 9.0, 'cleanliness': 9.1, 'confort': 9.1, 'price/quality': 8.7, 'location': 9.3, 'free-wifi': 9.4}",Apartamento 
95,"-8.64112249842878,41.124671751449,-8.59332225487743,41.1606025845952",Belos Aires Apartments,"{'global': 9.3, 'staff': 9.4, 'commodities': 9.1, 'cleanliness': 9.4, 'confort': 9.1, 'price/quality': 9.1, 'location': 9.7, 'free-wifi': 9.1}",Apartamento 
96,"-8.64011655281459,41.1368265834269,-8.59230744718542,41.1727574165731",BO - Álvares Cabral GuestHous,"{'global': 9.4, 'staff': 9.7, 'commodities': 9.5, 'cleanliness': 9.7, 'confort': 9.2, 'price/quality': 9.2, 'location': 8.9, 'free-wifi': 9.7}",Casa de hóspedes 
97,"-8.63479552336947,41.127386132155,-8.58699330123692,41.1633169653012",BmyGuest - Cardosas Cosy Apartmen,"{'global': 9.2, 'staff': 9.6, 'commodities': 9.1, 'cleanliness': 9.2, 'confort': 9.1, 'price/quality': 8.7, 'location': 9.6, 'free-wifi': 10.0}",Apartamento 
98,"-8.63973706745153,41.1247970834269,-8.59193673254847,41.1607279165731",B28 Apartments Por,"{'global': 9.6, 'staff': 9.5, 'commodities': 9.6, 'cleanliness': 9.8, 'confort': 9.5, 'price/quality': 9.3, 'location': 9.9, 'free-wifi': 9.2}",Apartamento 
99,"-8.63130035735013,41.1357420834269,-8.58349204264995,41.1716729165731",Port Wine Manor,"{'global': 7.8, 'staff': 8.5, 'commodities': 6.6, 'cleanliness': 7.2, 'confort': 7.5, 'price/quality': 8.4, 'location': 8.8, 'free-wifi': 10.0}",Apartamento 
100,"-8.63075506434129,41.1282914759128,-8.58295218222033,41.164222309059",Porto Cinema Apartments,"{'global': 9.4, 'staff': 9.0, 'commodities': 9.3, 'cleanliness': 9.6, 'confort': 9.4, 'price/quality': 9.3, 'location': 9.7, 'free-wifi': 8.8}",Apartamento 
